"SkillID";"SkillDescription";"SkillCategory"
18;"bash";1
19;"r";1
20;"python";1
21;"java";1
22;"c++";1
23;"ruby";1
24;"perl";1
25;"matlab";1
26;"javascript";1
27;"scala";1
28;"php";1
33;"excel";2
34;"tableau";2
35;"d3.js";2
36;"sas";2
37;"spss";2
38;"d3";2
39;"saas";2
40;"pandas";2
41;"numpy";2
42;"scipy";2
43;"sps";2
44;"spotfire";2
45;"scikits.learn";2
46;"splunk";2
47;"powerpoint";2
48;"h2o";2
64;"sql";4
65;"nosql";4
66;"hbase";4
67;"cassandra";4
68;"mongodb";4
69;"mysql";4
70;"mssql";4
71;"postgresql";4
72;"oracle db";4
73;"rdbms";4
79;"hadoop";3
80;"mapreduce";3
81;"spark";3
82;"pig";3
83;"hive";3
84;"shark";3
85;"oozie";3
86;"zookeeper";3
87;"flume";3
88;"mahout";3
